Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,1666,92,3449,969.81,0.000%,2.70577,0.47,0.34,176.6
TOTAL,100,1666,92,3449,969.81,0.000%,2.70577,0.47,0.34,176.6
