Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,1616,52,3582,1015.71,7.000%,4.99850,1.62,0.60,332.8
TOTAL,200,1616,52,3582,1015.71,7.000%,4.99850,1.62,0.60,332.8
